song,artist,lyrics
action! not words, def leppard, i'm sick and tired of the damn tv i'm gonna make my own movie i wanna star in a late night show and all i need is my video shock me make it electric shock me make it last curtain up let the camera roll it's automatic it's in control got no script baby ain't no lines just me and you and a real good time oh shock me make it electric shock me make it last shock me gimme thunder and lightning shock me oh babe i need it fast  because all i need is some action action action not words gimme action action action not words  come on and shock me let the cameras roll  i'll be the hero you be the star with your wine and your caviar no audition a starring roll i'll be your bogart and you be monroe yeah shock me make it electric shock me oh bump and grind shock me make a night to remember shock me do it one more time so cut me in on the action  lights camera sound i need action  action action gimme action not words let the camera roll action action action not words i need a little  action action action not words well shake a little piece of your action action action not words come on talk to me with your body  action;;;;;;;;;;;;
we belong, def leppard, sometimes i feel i don’t belong here sometimes i just don’t feel i feel so uninvited a wound that never heals i need a little shelter just for a little while sometimes i hide the sadness behind a painted smile if you cast the first stone i will roll it away i will kneel at your throne hold my hands up and pray i will hold back the tide push the oceans aside save the day but i can be stronger you’re all that i am you’re all that i see the keys to the kingdom are waiting for me so don’t hold me back don’t hold me down just hold me and don’t let go you’re all that i am you’re all that i do the end of the rainbow is waiting for you so tell me i’m right cause this can’t move on not if we belong whatever happened to forgiveness are the words too hard to say what happened to the answers they disappeared along the way i hide behind the madness still looking for the clues and there’s nothing left to chance when there’s nothing left to lose and the voice in my head screams the words i believe and the light in the dark is the air that i breathe you’re all that i am you’re all that i see the keys to the kingdom are waiting for me so don’t hold me back don’t hold me down just hold me and don’t let go you’re all that i am you’re all that i do the end of the rainbow is waiting for you so tell me i’m right cause this can’t move on back where we belong as you cast the first stone and i roll it away and i kneel at your throne these words that i say you’re all that i am you’re all that i see the keys to the kingdom are waiting for me so don’t hold me back don’t hold me down just hold me and don’t let go you’re all that i am you’re all that i do the end of the rainbow is waiting for you so tell me i’m right cause this can’t be wrong not if we belong the keys to the kingdom are waiting for me;;;;;;;;;;;;
rock rock (till you drop), def leppard, hold onto your hat hold onto your heart ready get set to tear this place apart don't need a ticket only place in town that'll take you up to heaven and never bring you down anything goes! anything goes! women to the left women to the right there to entertain and take you through the night so grab a little heat and come along with me because your mama don't mind what your mama don't see anything goes! anything goes! rock! rock! until you drop rock! rock! never stop rock! rock! until you drop i say rock! rock! to the top riding into danger laughing all the way fast free and easy living for today got to lip service get it while you can hot sweat and nervous love on demand anything goes! anything goes! rock! rock! give it to me it's what i got going through me don't ever stop do it to me yeah rock! rock! you really move me hold on hold on hold tight we're going to rock tonight too loud man too loud;;;;;;;;;;;;
let it go, def leppard, cool woman cool eyes you got me hypnotized so head down get a rhythm stop your stalling and your bitching i'm rock steady i'm still shaking i'm ready for the taking so make your move yeah make me and get ready for the big c  let it rock yeah let it roll let it let it go let it go you got to let it rock come on let it roll yeah just let it go  slow down hold on you're too fast you're too strong take it easy take it slow make it last don't let go we're one body it's one way you're not leaving come on stay so get down on your knees and let me know you're eager to please  let it rock yeah let it roll let it let it go let it go you got to let it rock come on let it roll yeah just let it go  let it go let it go let it go  cool woman cool eyes you got me hypnotized slow down hold on you're too fast too strong i need a woman a woman to love one good woman and you got what i want what i want  slow down hold on you're much too fast you're much too strong take it slow make it last take it easy not too fast don't let go no i'm rock steady but still shaking and i'm ready for the taking so make your move yeah make me and get a-ready for the big c yeah  let it rock yeah let it roll let it let it go let it go you got to let it rock come on let it roll yeah just let it go let it rock yeah let it roll let it let it go let it go you got to let it rock come on let it roll yeah just let it go;;;;;;;;;;;;
don't shoot shotgun, def leppard, run for cover don't shoot! shoot! she's so dangerous shotgun gun don't shoot shotgun  maybe i'm wrong maybe i'm right falling head over heals at the speed of light hey little miss heaven on earth whoa won't you walk this way but i see a red alert oh my senses say keep away so don't shoot don't shoot shotgun dream on nightmare touch and go dove turned destroyer she cut you up she's a slave of love run for cover she's so dangerous undercover she's so shameless  don't shoot shotgun you got me biting my lip don't shoot shotgun you shooting straight from the hip so don't shoot shotgun shoot me baby!  hit and miss flesh and blood she's sweet and indiscreet she can't get enough a little midnight madness oh baby you can't hide so wild and unpredictable step aside because you're you're shooting wide run for cover she's so dangerous undercover she's so shameless  don't shoot shotgun you got me biting my lip don't shoot shotgun you shooting straight from the hip oh shake it shake it! ah take this little hit and miss  don't shoot shotgun you got me biting my lip don't shoot shotgun you shooting straight from the hip don't shoot it don't shoot shotgun shake it shake it take this little hit and miss  don't shoot shotgun oh shoot it! don't shoot it oh shotgun! shoot me baby let it blow!;;;;;;;;;;;;
die hard the hunter, def leppard, let's welcome home the soldier boy (far away far away) no angel of mercy just a need to destroy (far away far away) let's toast the hero with blood in his eyes the scars on his mind took so many lives die hard the hunter welcome home soldier boy put down your pistol yeah put down your toy yeah they can take the gun away from you but never take away your attitude they can't do that no no no they can't do that you got no enemy no front line the only battle's in the back of your mind you don't know how to change from bad to good you brought the war to your neighborhood you can't do that you can't do that they can't do that no no no they can't do that  (die hard) you're caught in a trap (hunter) there's no looking back (die hard) he's lost in the crowd (hunter) die hard and proud  die hard the hunter  back in the city he's a man on the loose he is the shadow that's following you he takes no prisoners when he's hunting for game he's got a bullet and it carries your name you can't do that you can't do that you can't do that   die hard the hunter  die hard the hunter die hard the hunter you can't do that you can't do that no no no;;;;;;;;;;;;
excitable, def leppard, are you excitable? are you excited?  ah this obsession it's getting a-inviting a little a x-rated a little bit exciting  stand up stand up say yeah stand up stand up stand up stand up say yeah say yeah stand up  come on get in the groove you know i get so excitable i really get so excitable i want to get you excitable so come on let's go ah baby don't say no  ah this temptation it gets-a a-outrageous ha it's such a a sensation a little bit contagious hey hey    are you excitable? are you excitable? obsession obsession check it out hey  inch by inch mile by mile what i do i do in style you got your leather la-lace long and lean ballistic a lipstick dream machine you got to do it ah do it do it hey come on and do it   baby let's go excitable you got me shivering excitable;;;;;;;;;;;;
heaven is, def leppard, hey boys miss magic is back no hollywood waste or tinsel trash a street kid she's no stray cat heaven on legs she's feline flash takes a good woman to play a good man and no one plays like heaven can  she said leave your name at the sound of the tone call you right back when i get home  better watch out when we're all alone heaven is a girl i know so well she makes me feel good when i feel like hell heaven is a girl that i've got to have and she makes me feel better when i'm feeling bad  hey guys miss magic is mine no silicone smile she's a vintage wine bombshell blonde red lipstick on aqualine fine she's a real wild one   better watch out when we're all alone heaven is a girl i know so well she makes me feel good when i feel like hell heaven is a girl that i've got to have and she makes me feel better when i'm feeling bad heaven is a girl that makes dreams come true oh no one does it good like heaven do no  she got the rhythm to drive me crazy she got the rhythm of love she said leave your name at the sound of the tone the lights are out but there's somebody home  better watch out when we're all alone heaven is a girl i know so well and she makes me feel good when i feel like hell heaven is a girl that i've got to have and she makes me feel better when i'm feeling bad heaven is a girl that makes dreams come true oh no one does it good like heaven do yeah heaven is a girl that i've got to have  she makes me feel good when i feel like hell heaven is a girl she makes dreams come true and no one does it good like heaven do that voodoo that you do;;;;;;;;;;;;
high 'n' dry (saturday night), def leppard, saturday i feel right i been drinking all day yes i got a date a midnight ride i had to get it away  yeah i'm not a loner i'm not a fool don't need a reason reason to be cool i got my whiskey i got my wine i got my woman and this time the lights are going out  saturday night - high saturday night - high and dry saturday night - i'm high saturday night - high and dry  ow i feel bad i feel mean i'm up and down and in between on the bottle i'm on the line i'm up and feeling fine    oh take me high saturday kicking out her train was coming to me i got to move number one saturday night on the run  saturday night - high saturday night - high and dry saturday night - got my whiskey saturday night - got my wine saturday night - got my woman saturday night - high and dry you got to try me tonight;;;;;;;;;;;;
comin' under fire, def leppard, your kind of woman gotta heart of stone but watch it break when i get you alone take a chance come lay down with me oh i want to make it slow and steady never lost the race don't stop running i'm a fool for the chase play the game surrender to me baby i don't want to fake it  is it any wonder you got me coming under fire? coming like thunder you know you make me walk the wire  it's so easy to put on a show your body says yes but you won't let it go but my passion it won't slip away oh i'm not going crazy   under fire you got me coming under fire you got me coming under fire oh yeah i'm coming under fire you body says yes but baby please let it go let it go yeah yeah  you got me i'm coming my back to the wall no bed of roses ain't no bed at all i'm walking the wire i stumble and fall i got my message but i ain't gonna crawl   under fire you got me coming under fire you got me coming under fire oh yeah i'm coming under fire;;;;;;;;;;;;
