song,artist,lyrics
honky tonk women, the rolling stones, i met a gin-soaked barroom queen in memphis she tried to take me upstairs for a ride she had to heave me right across her shoulder cause i just can't seem to drink it off my mind  it's the honky tonk women gimme gimme gimme the honky tonk blues  i laid a divorcee in new york city i had to put up some kind of a fight the lady then she covered me with roses she blew my nose and then she blew my mind  it's the honky tonk women gimme gimme gimme the honky tonk blues  strollin' on the boulevards of paris naked as the day that i will die the sailors they're so charming there in paris but i just don't seem to sail you off my mind  it's the honky tonk women gimme gimme gimme the honky tonk blues;;;;;;;;;;;;
miss you, the rolling stones, i've been holding out so long i've been sleeping all alone lord i miss you i've been hanging on the phone i've been sleeping all alone i want to kiss you sometime  ooh ooh ooh-ooh-ooh ooh ooh ooh-ooh-ooh  well i've been haunted in my sleep you've been starring in my dreams lord i miss you child i've been waiting in the hall been waiting on your call when the phone rings it's just some friends of mine that say hey what's the matter man? we're goingna come around at twelve with some puerto rican girls thats just dying to meet you we're goinna bring a case of wine hey let's go mess and fool around you know like we used to  ah ah ah-ah-ah ah ah ah-ah-ah  oh everybody waits so long oh baby why you waitin' so long? won't you come on come on? i've been walkin' central park singing after dark people think i'm crazy stumbling on my feet shuffling through the street asking people what's the matter with you boy? sometimes i want to say to to myself sometimes i say  ooh ooh ooh-ooh-ooh ooh ooh i won't miss you child  i guess i'm lying to myself it's just you and no one else lord i won't miss you child you've just been blotting out my mind fooling on my time no i won't miss you baby yeah  ah ah ah-ah-ah lord i miss you child ah ah ah-ah-ah lord i miss you child ah ah ah-ah-ah why why why why;;;;;;;;;;;;
angie, the rolling stones, angie angie when will those clouds all disappear? angie angie where will it lead us from here? with no loving in our souls and no money in our coats you can't say we're satisfied but angie angie you can't say we never tried angie you're beautiful yeah but ain't it time we said goodbye? angie i still love you remember all those nights we cried? all the dreams we held so close seemed to all go up in smoke let me whisper in your ear angie angie where will it lead us from here?  oh angie don't you weep all your kisses still taste sweet i hate that sadness in your eyes but angie angie ain't it time we said goodbye? yeah  with no loving in our souls and no money in our coats you can't say were satisfied but angie i still love you baby everywhere i look i see your eyes there ain't a woman that comes close to you come on baby dry your eyes but angie angie ain't it good to be alive? angie angie they can't say we never tried;;;;;;;;;;;;
jumpin' jack flash, the rolling stones, one two! i was born in a crossfire hurricane and i howled at the maw in the drivin' rain but it's all right now in fact it's a gas but it's all right i'm jumpin' jack flash it's a gas gas gas  i was raised by a toothless bearded hag i was schooled with a strap right across my back but it's all right now in fact it's a gas but it's all right i'm jumpin' jack flash it's a gas gas gas  i was drowned i was washed up and left for dead i fell down to my feet and i saw they bled yeah yeah i frowned at the crumbs of a crust of bread. yeah yeah yeah  i was crowned with a spike right thru my head my my yeah but it's all right now in fact it's a gas but it's all right i'm jumpin' jack flash it's a gas gas gas  jumpin' jack flash its a gas jumpin' jack flash its a gas jumpin' jack flash its a gas jumpin' jack flash its a gas;;;;;;;;;;;;
start me up, the rolling stones, if you start me up if you start me up i'll never stop you can start me up you can start me up i'll never stop  i've been running hot you got me ticking going to blow my top if you start me up if you start me up i'll never stop never stop never stop never stop  you make a grown man cry you make a grown man cry you make a grown man cry spread out the oil the gasoline i walk smooth ride in a mean mean machine  start it up start it up if you start it up you've gotta start it give it all you got you got to you got to you got to i can't compete with the riders in the other heats if you rough it up if you like it you can slide it up slide it up slide it up slide it up  don't make a grown man cry don't make a grown man cry don't make a grown man cry my eyes dilate my lips go green my hands are greasy she's a mean mean machine  start it up start me up ah give it all you've got to you've got to never never never stop slide it up (woo) oh baby just slide it up slide it up slide it up never never never  you make a grown man cry you make a grown man cry you make a grown man cry ride like the wind at double speed i'll take you places that you've never never seen'  if you start it up love the day and we will never stop never stop never never never stop start me up never stop never stop  you you you make a grown man cry you you make a dead man cum you you make a dead man cum;;;;;;;;;;;;
under my thumb, the rolling stones, under my thumb the girl who once had me down under my thumb the girl who once pushed me around  it's down to me the difference in the clothes she wears down to me the change has come she's under my thumb say it's all right  under my thumb the squirming dog who's just had her day under my thumb a girl who has just changed her ways  it's down to me yes it is the way she does just what she's told down to me the change has come she's under my thumb ah ah say it's alright  under my thumb a siamese cat of a girl under my thumb she's the sweetest hmmm pet in the world  it's down to me the way she talks when she's spoken to down to me the change has come she's under my thumb  ah take it easy babe  it's down to me oh yeah the way she talks when she's spoken to down to me the change has come she's under my thumb yeah it feels alright  under my thumb her eyes are just kept to herself under my thumb well i i can still look at someone else  it's down to me oh that's what i said the way she talks when she's spoken to down to me the change has come she's under my thumb  say it's alright say it's all... say it's all... take it easy babe take it easy babe it feels alright take it take it easy babe;;;;;;;;;;;;
dead flowers, the rolling stones, well when you're sitting there in your silk upholstered chair talking to some rich folk that you know well i hope you won't see me in my ragged company well you know i could never be alone  take me down little susie take me down i know you think you're the queen of the underground  and you can send me dead flowers every morning send me dead flowers by the mail send me dead flowers to my wedding and i won't forget to put roses on your grave  well when you're sitting back in your rose pink cadillac making bets on kentucky derby day ah i'll be in my basement room with a needle and a spoon and another girl can take my pain away  take me down little susie take me down i know you think you're the queen of the underground  and you can send me dead flowers every morning send me dead flowers by the mail send me dead flowers to my wedding and i won't forget to put roses on your grave hey  take me down little susie take me down i know you think you're the queen of the underground  and you can send me dead flowers every morning send me dead flowers by the u.s. mail say it with dead flowers at my wedding and i won’t forget to put roses on your grave no i won’t forget to put roses on your grave;;;;;;;;;;;;
ruby tuesday, the rolling stones, she would never say where she came from yesterday don't matter if it's gone while the sun is bright or in the darkest night no one knows she comes and goes  goodbye ruby tuesday who could hang a name on you? when you change with every new day still i'm going to miss you  don't question why she needs to be so free she'll tell you it's the only way to be she just can't be chained to a life where nothing's gained and nothing's lost at such a cost  goodbye ruby tuesday who could hang a name on you? when you change with every new day still i'm going to miss you  there's no time to lose i heard her say catch your dreams before they slip away dying all the time lose your dreams and you will lose your mind ain't life unkind?  goodbye ruby tuesday who could hang a name on you? when you change with every new day still i'm going to miss you goodbye ruby tuesday who could hang a name on you? when you change with every new day still i'm going to miss you;;;;;;;;;;;;
tumbling dice, the rolling stones, mmm yeah  women think i'm tasty but they're always tryin' to waste me and make me burn the candle right down but baby baby i don't need no jewels in my crown 'cause all you women is low down gamblers cheatin' like i don't know how but baby i go crazy there's fever in the funk house now this low down bitchin' got my poor feet a-itchin' you know you know the deuce is still wild  baby i can't stay you got to roll me and call me the tumbling dice  always in a hurry i never stop to worry don't see the time flashin' by honey got no money i'm all sixes and sevens and nines say now baby i'm the rank outsider you can be my partner in crime  baby get it straight you got to roll me and call me the tumbling roll me and call me the tumbling dice baby oh my  oh my my my i'm the lone craps shooter playing the field every night  baby get it straight you got to roll me and call me the tumbling dice got to roll me (call me the tumbling dice) got to roll me got to roll me got to roll me (oh oh yeah) got to roll me (oh oh) got to roll me (oh yeah) got to roll me (oh keep on rolling) got to roll me (oh keep on rolling) got to roll me (oh yeah keep on rolling) got to roll me (call me the tumbling dice) got to roll me (yeah) got to roll me (roll me baby) got to roll me (ah yeah) got to roll me (oh my my my my) got to roll me got to roll me (keep on tumbling down baby oh) got to roll me got to roll me got to roll me;;;;;;;;;;;;
let it bleed, the rolling stones, well we all need someone we can lean on and if you want it you can lean on me yeah we all need someone we can lean on and if you want it you can lean on me  she said my breasts they will always be open baby you can rest your weary head right on me and there will always be a space in my parking lot when you need a little coke and sympathy  yeah we all need someone we can dream on and if you want it baby well you can dream on me yeah we all need someone we can cream on and if you want to well you can cream on me  i was dreaming of a steel guitar engagement when you drunk my health in scented jasmine tea but you knifed me in my dirty filthy basement with that jaded faded junky nurse - oh what pleasant company  come on we all need someone we can feed on yeah and if you want it well you can feed on me hey take my arm take my leg oh baby don't you take my head  yeah we all need someone we can bleed on yeah and if you want it baby well you can bleed on me yeah we all need someone we can bleed on yeah and if you want it baby why don't you bleed on me (all over)  ah get it on rider get it on rider get it on rider you can bleed all over me yeah get it on rider get it on rider yeah you can be my rider you can come all over me oh get it on rider get it on rider get it on rider you can come all over me;;;;;;;;;;;;
mother's little helper, the rolling stones, what a drag it is getting old  things are different today i hear every mother say mother needs something today to calm her down and though she's not really ill there's a little yellow pill  she goes running for the shelter of her mother's little helper and it helps her on her way gets her through her busy day  things are different today i hear every mother say cooking fresh food for a husband's just a drag so she buys an instant cake and she burns a frozen steak  and goes running for the shelter of her mother's little helper and to help her on her way get her through her busy day  doctor please some more of these outside the door she took four more what a drag it is getting old  men just aren't the same today i hear every mother say they just don't appreciate that you get tired they're so hard to satisfy you can tranquilize your mind  so go running for the shelter of your mother's little helper and four help you through the night help to minimize your plight  doctor please some more of these outside the door she took four more what a drag it is getting old  life's just much too hard today i hear ev'ry mother say the pursuit of happiness just seems a bore and if you take more of those you will get an overdose  no more running for the shelter of a mother's little helper they just helped you on your way through your busy dying day hey;;;;;;;;;;;;
shine a light, the rolling stones, saw you stretched out in room ten oh nine with a smile on your face and a tear right in your eye oh couldn't see to get a line on you my sweet honey love berber jewelry jangling down the street making bloodshot eyes at every woman that you meet could not seem to get a high on you my sweet honey love  may the good lord shine a light on you make every song your favorite tune may the good lord shine a light on you warm like the evening sun  when you're drunk in the alley baby with your clothes all torn and your late night friends leave you in the cold gray dawn just seemed too many flies on you i just can't brush them off angels beating all their wings in time with smiles on their faces and a gleam right in their eyes whoa thought i heard one sigh for you come on up come on up now come on up now  may the good lord shine a light on you make every song you sing your favorite tune may the good lord shine a light on you warm like the evening sun;;;;;;;;;;;;
play with fire, the rolling stones, well you've got your diamonds and you've got your pretty clothes and the chauffeur drives your car you let everybody know but don't play with me cause you're playing with fire your mother she's an heiress owns a block in saint john's wood and your father'd be there with her if he only could but don't play with me because you're playing with fire your old man took her diamond's and tiaras by the score now she gets her kicks in stepney not in knightsbridge anymore so don't play with me because you're playing with fire now you've got some diamonds and you will have some others but you'd better watch your step girl or start living with your mother so don't play with me cause you're playing with fire so don't play with me cause you're playing with fire;;;;;;;;;;;;
can't you hear me knocking, the rolling stones, yeah you got satin shoes yeah you got plastic boots y'all got cocaine eyes yeah you got speed-freak jive now can't you hear me knockin' on your window? can't you hear me knockin' on your door? can't you hear me knockin' down your dirty street? yeah  help me baby ain't no stranger help me baby ain't no stranger help me baby ain't no stranger  can't you hear me knockin' ahh are you safe asleep? can't you hear me knockin' yeah down the gas light street now can't you hear me knockin' yeah throw me down the keys alright now  hear me ringing big bell tolls hear me singing soft and low i've been begging on my knees i've been kickin' help me please  hear me prowlin' (i'm gonna take you down) hear me growlin' (yeah i've got flat-ten feet now now now now) hear me howlin' (and all all around your street now) hear me knockin' (and all all around your town);;;;;;;;;;;;
rocks off, the rolling stones, oh yeah  i hear you talking when i'm on the street your mouth don't move but i can hear you speak what's the matter with the boy? he don't come around no more is he checking out for sure? is he gonna close the door on me? and i'm always hearing voices on the street i want to shout but i can't hardly speak i was making love last night to a dancer friend of mine i can't seem to stay in step because she come every time that she pirouettes over me  and i only get my rocks off while i'm dreaming (only get them off only get them off only get them off) i only get 'em off while i'm sleeping (only get them off only get them off)  i'm zipping through the days at lightning speed plug in flush out and fire the fucking feed  heading for the overload splattered on the nasty road kick me like you've kicked before i can't even feel the pain no more  and i only get my rocks off while i'm dreaming (only get them off only get them off only get them off) i only get 'em off while i'm sleeping (only get them off only get them off)  feel so hypnotized can't describe the scene oh it's all mesmerized all that inside me oh  the sunshine bores the daylights out of me chasing shadows moonlight mystery  heading for the overload splattered on the dirty road kick me like you've kicked before i can't even feel the pain no more  and i only get my rocks off while i'm dreaming (only get them off only get them off only get them off) i only get 'em off while i'm sleeping (only get them off only get them off) and i only get my rocks off while i'm dreaming (only get them off only get them off only get them off) and i only get my rocks off while i'm sleeping (only get them off only get them off) and i only get my rocks off while i'm sleeping (only get them off only get them off only get them off) (only get them off get them off only get them off);;;;;;;;;;;;
sweet virginia, the rolling stones, wading through the waste stormy winter and there's not a friend to help you through trying to stop the waves behind your eyeballs drop your reds drop your greens and blues thank you for your wine california thank you for your sweet and bitter fruits yes i've got the desert in my toenail and i hid the speed inside my shoe  but come on come on down sweet virginia come on honey child i beg of you come on come on down you've got it in ya you've got to scrape that shit right off you shoes  i want you to come on and sing it with me one time... all right  yes i want you to come on come on down sweet virginia i said i want you to come on honey child i beg of you i want you come on honey child you've got it in you you've got to scrape that shit right off you shoes one more time hey  but come on come on down sweet virginia come on come on down i beg of you come on come on down you've got it in ya you've got to scrape that shit right off you shoes;;;;;;;;;;;;
ride 'em on down, the rolling stones, yeah i’m a dealin' man still dealing yeah i’ll go keep on dealing 'til i find myself a bed i got to stop dealing i believe i’ll ride ‘em on down well i done stopped dealing i believe i’ll ride 'em on down  yeah raised in the country got up raised in town got two kids and they’re all look like mine i got to stop dealing i believe i’ll ride ‘em on down yeah i got to stop dealing i believe i’ll ride 'em on down  yeah i’m dealing darling bottom of the deck seem like somebody gonna take my shit well i got to stop dealing i believe i’ll ride ‘em on down well i done stopped dealing i believe i’ll ride 'em on down yeah  hey born yesterday yeah and not a day before here you come knocking at my door done stop dealing i believe i’ll ride ‘em on down yeah i done stopped dealing i believe i’ll ride 'em on down yeah  yeah i done stopped dealing i believe i’ll ride 'em on down that was good;;;;;;;;;;;;
bitch, the rolling stones, i'm feeling so tired can't understand it just had a fortnight's sleep i'm feeling so stuffed i'm so distracted ain't touched a thing all week i'm feeling drunk juiced up and sloppy ain't touched a drink all night i'm feeling hungry can't see the reason just had a horse meat pie  yeah when you call my name i salivate like a pavlov dog yeah when you lay me out my heart is beating louder than a big bass drum alright  yeah you got to mix it child you got to fix it must be love it's a bitch yeah you got to mix it child you got to fix it must be love it's a bitch alright  sometimes i'm sexy move like a stud like kicking the stall all night sometimes i'm so shy got to be worked on don't have no bark or bite alright  yeah when you call my name i salivate like a pavlov dog yeah when you lay me out my heart is bumping louder than a big bass drum alright  i want it woo i said hey yeah get alright now get it got to be hey i'll get alright now get it hey hey hey hey hey yeah hey hey hey hey hey yeah hey hey hey hey hey yeah hey hey hey hey hey yeah get on hey hey hey;;;;;;;;;;;;
street fighting man, the rolling stones, everywhere i hear the sound of marching charging feet boy because summer's here and the time is right for fighting in the street boy but what can a poor boy do except to sing for a rock and roll band  because in sleepy london town there's just no place for street fighting man! no!  hey! think the time is right for a palace revolution but where i live the game to play is compromise solution! well then what can a poor boy do except to sing for a rock and roll band  because in sleepy london town there's just no place for street fighting man! no!  hey! said my name is called disturbance i'll shout and scream i'll kill the king i'll rail at all his servants well then what can a poor boy do except to sing for a rock and roll band  because in sleepy london town there's just no place for street fighting man! no!;;;;;;;;;;;;
monkey man, the rolling stones, i'm a fleabit peanut monkey all my friends are junkies that's not really true i'm a cold italian pizza i could use a lemon squeezer you could do? well i've been bit and i've been tossed around by every she-rat in this town have you babe?  well i am just a monkey man i'm glad you are a monkey woman too  i was bitten by a boar i was gouged and i was gored but i pulled on through yes i'm a sack of broken eggs i always have an unmade bed don't you? well i hope we're not too messianic or a trifle too satanic we love to play the blues  well i am just a monkey man i'm glad you are a monkey monkey woman monkey woman too babe!  i'm a monkey! i'm a monkey! i'm a monkey man!  i'm a monkey man! i'm a monkey! i'm a monkey! i'm a monkey! i'm a monkey! monkey! monkey! monkey!;;;;;;;;;;;;
midnight rambler, the rolling stones, {​intro}​  did you hear about the midnight rambler everybody got to go did you hear about the midnight rambler the one that shut the kitchen door he don't give a hoot of warning wrapped up in a black cat cloak he don't go in the light of the morning he split the time the cock'rel crows  talkin' about the midnight gambler the one you never seen before talkin' about the midnight gambler did you see him jump the garden wall sighin' down the wind so sad listen and you'll hear him moan talkin' about the midnight gambler everybody got to go {​bridge}​  did you hear about the midnight rambler well honey it's no rock 'n' roll show well i'm talkin' about the midnight gambler yeah the one you never seen before {​bridge}​ oh don't do that oh don't do that oh don't do that don't you do that don't you do that don't you do that don't you do that oh don't do that oh don't do that oh don't do that oh don't do that oh don't do that don't you do that don't you do that don't you do that don't you do that oh don't do that oh don't do that don't you do that don't you do that don't you do that don't you do that don't you do that don't you do that don't you do that don't you do that don't you do that don't you do that don't you do that don't you do that don't you do that don't you do that don't you do that don't you do that don't you do that don't you do that {​bridge}​  well you heard about the boston… it’s not one of those… well talkin' 'bout the midnight...sh... the one that closed the bedroom door i'm called the hit-and-run raper in anger the knife-sharpened tippie-toe... or just the shoot 'em dead brainbell jangler you know the one you never seen before  so if you ever meet the midnight rambler coming down your marble hall well he's pouncing like proud black panther well you can say i i told you so well don't you listen for the midnight rambler yeah play it easy as you go i'm gonna smash down all your plate glass windows put a fist put a fist through your steel-plated door {​bridge}​  did you hear about the midnight rambler he'll leave his footprints up and down your hall and did you hear about the midnight gambler and did you see me make my midnight call and if you ever catch the midnight rambler i'll steal your mistress from under your nose i'll go easy with your cold fanged anger i'll stick my knife right down your throat baby and it hurts!;;;;;;;;;;;;
as tears go by, the rolling stones, it is the evening of the day i sit and watch the children play smiling faces i can see but not for me i sit and watch as tears go by  my riches can't buy everything i want to hear the children sing all i hear is the sound of rain falling on the ground i sit and watch as tears go by  it is the evening of the day i sit and watch the children play doing things i used to do they think are new i sit and watch as tears go by;;;;;;;;;;;;
love in vain, the rolling stones, well i followed her to the station with a suitcase in my hand yeah i followed her to the station with a suitcase in my hand whoa it's hard to tell it's hard to tell when all your love's in vain  when the train come in the station i looked her in the eye well the train come in the station and i looked her in the eye whoa i felt so sad so lonesome that i could not help but cry  when the train left the station it had two lights on behind yeah when the train left the station it had two lights on behind whoa the blue light was my baby and the red light was my mind  all my love was in vain all my love's in vain;;;;;;;;;;;;
no expectations, the rolling stones, take me to the station and put me on a train i've got no expectations to pass through here again  once i was a rich man now i am so poor but never in my sweet short life have i felt like this before  your heart is like a diamond you throw your pearls at swine and as i watch you leaving me you pack my peace of mind  our love was like the water that splashes on a stone our love is like our music its here and then its gone  so take me to the airport and put me on a plane i got no expectations to pass through here again;;;;;;;;;;;;
sway, the rolling stones, did you ever wake up to find a day that broke up your mind destroyed your notion of circular time  it's just that demon life has got you in its sway it's just that demon life has got you in its sway  ain't flinging tears out on the dusty ground for all my friends out on the burial ground can't stand the feeling getting so brought down  it's just that demon life has got you in its sway it's just that demon life has got you in its sway  there must be ways to find out love is the way they say is really strutting out  hey hey hey now one day i woke up to find right in the bed next to mine someone that broke me up with a corner of her smile yeah  it's just that demon life has got you in its sway it's just that demon life has got you in its sway  it's just that demon life has got me;;;;;;;;;;;;
some girls, the rolling stones, some girls give me money some girls buy me clothes some girls give me jewelry that i never thought i'd own some girls give me diamonds some girls heart attacks some girls i give all my bread to i don't ever want it back some girls give me jewelry others buy me clothes some girls give me children i never asked them for so give me all your money give me all your gold i'll buy you a house back in zuma beach and give you half of what i own some girls take my money some girls take my clothes some girls get the shirt off my back and leave me with a lethal dose french girls they want cartier italian girls want cars american girls want everything in the world you can possibly imagine english girls they're so prissy i can't stand them on the telephone sometimes i take the receiver off the hook i don't want them to ever call at all white girls they're pretty funny sometimes they drive me mad black girls just wanna get fucked all night i just don't have that much jam chinese girls are so gentle they're really such a tease you never know quite what they're cooking inside those silky sleeves give me all you money give me all your gold i'll buy you a house back in zuma beach and give you half of what i own some girls they're so pure some girls so corrupt some girls give me children i only made love to her once give me half your money give me half your car give me half of everything i'll make you world's biggest star by half so give me all your money give me all your gold let's go back to zuma beach i'll give you half of everything i own;;;;;;;;;;;;
moonlight mile, the rolling stones, when the wind blows and the rain feels cold with a head full of snow with a head full of snow in the window there’s a face you know don’t the night pass slow? don’t the nights pass slow?  the sound of strangers sending nothing to my mind just another mad mad day on the road i am just living to be lying by your side but i’m just about a moonlight mile on down the road  made a rag pile of my shiny clothes going to warm my bones going to warm my bones i’ve got silence on my radio let the air waves flow let the air waves flow  for i am sleeping under strange strange skies just another mad mad day on the road my dreams is fading down the railway line i’m just about a moonlight mile on down the road yeah yeah  i’m hiding sister and i’m dreaming i’m riding down your moonlight mile i’m hiding baby but i’m dreaming i’m riding down your moonlight mile i’m riding down your moonlight mile let it go now come on up baby yeah let it go now yeah flow now baby yeah come on now yeah hey  yeah i’m coming home cause i’m just about a moonlight mile on down the road on down the road on down the road yeah yeah baby;;;;;;;;;;;;
heaven, the rolling stones, the smell of you baby my senses my senses be praised the smell of you baby my senses my senses be praised kissing and running kissing and running away kissing and running kissing and running away senses be praised senses be praised you're my saving grace saving grace nothing will harm you nothing will stand in your way nothing nothing nothing will stop you and nothing will stand in your way no one will harm you no one will stand in your way no one will bar you nothing will stand in your way nothing there's nothing;;;;;;;;;;;;
let's spend the night together, the rolling stones, my-my-my-my  don't you worry about what's on your mind oh my i'm in no hurry i can take my time oh my i'm going red and my tongue's getting tied (tongue's getting tied) i'm off my head and my mouth's getting dry i'm high but i try try try oh my  let's spend the night together now i need you more than ever let's spend the night together now my-my-my-my oh my  i feel so strong that i can't disguise oh my (let's spend the night together) but i just can't apologize oh no (let's spend the night together) don't hang me up and don't let me down (don't let me down) we could have fun just groovin' around around and 'round and oh my my  let's spend the night together now i need you more than ever let's spend the night together  let's spend the night together now i need you more than ever  you know i'm smiling baby you need some guiding baby i'm just deciding baby; now i need you more than ever let's spend the night together let's spend the night together now oh m-my-my-my-my-my-my  this doesn't happen to me every day oh my (let's spend the night together) no excuses offered anyway oh my (let's spend the night together) i'll satisfy your every need (your every need) and now i know you will satisfy me oh m-my-my-my-my-my  let's spend the night together now i need you more than ever let's spend the night together now  oh m-my-my-my-my-my-my (let's spend the night together) now i need you need you more than ever woman (let's spend the night together) i'll satisfy your every need woman (let's spend the night together) now i know i know you'll satisfy me whoa my-my (let's spend the night together) i beg you baby oh my-my-my-my-my-my (let's spend the night together) a-come on now oh baby my-my-my-my (let's spend the night together);;;;;;;;;;;
get off of my cloud, the rolling stones, i live on an apartment on the ninety-ninth floor of my block and i sit at home looking out the window imagining the world has stopped then in flies a guy who's all dressed up just like the union jack and says i've won five pounds if i have his kind of detergent pack  i said hey you get off of my cloud hey you get off of my cloud hey you get off of my cloud don't hang around cause two's a crowd on my cloud baby  the telephone is ringing i say hi it's me who is it there on the line? a voice says hi hello how are you? well i guess i'm doing fine it's three a.m. there's too much noise don't you people ever want to go to bed because you feel so good do you have to drive me out of my head  i said hey you get off of my cloud hey you get off of my cloud hey you get off of my cloud don't hang around cause two's a crowd on my cloud baby  i was sick and tired fed up with this and decided to take a drive downtown it was so very quiet and peaceful there was nobody not a soul around i laid myself out i was so tired and i started to dream in the morning the parking tickets were just like a flag stuck on my windscreen  i said hey you get off of my cloud hey you get off of my cloud hey you get off of my cloud don't hang around cause two's a crowd on my cloud baby  hey you get off of my cloud hey you get off of my cloud hey you get off of my cloud don't hang around baby two's a crowd on my cloud;;;;;;;;;;;;
loving cup, the rolling stones, i'm the man on the mountain come on up i'm the plowman in the valley with a face full of mud yes i'm fumbling and i know my car don't start yes i'm stumbling and i know i play a bad guitar  give me little drink from your loving cup just one drink and i'll fall down drunk  i'm the man who walks the hillside in the sweet summer sun i'm the man that brings you roses when you ain't got none well i can run and jump and fish but i won't fight you if you want to push and pull with me all night  give me little drink from you loving cup just one drink and i'll fall down drunk  i feel so humble with you tonight just sitting in front of the fire see your face dancing in the flame feel your mouth kissing me again what a beautiful buzz what a beautiful buzz what a beautiful buzz what a beautiful buzz oh what a beautiful buzz what a beautiful buzz  yes i am nitty gritty and my shirt's all torn but i would love to spill the beans with you till dawn  give me little drink from your loving cup just one drink and i'll fall down drunk;;;;;;;;;;;;
smells like teen spirit, nirvana, load up on guns bring your friends it's fun to lose and to pretend she's over-bored and self-assured oh no i know a dirty word  hello hello hello how low hello hello hello how low hello hello hello how low hello hello hello  with the lights out it's less dangerous here we are now entertain us i feel stupid and contagious here we are now entertain us a mulatto an albino a mosquito my libido  yeah hey yay  i'm worse at what i do best and for this gift i feel blessed our little group has always been and always will until the end  hello hello hello how low hello hello hello how low hello hello hello how low hello hello hello  with the lights out it's less dangerous here we are now entertain us i feel stupid and contagious here we are now entertain us a mulatto an albino a mosquito my libido  yeah hey yay   and i forget just why i taste oh yeah i guess it makes me smile i found it hard it's hard to find oh well whatever nevermind  hello hello hello how low hello hello hello how low hello hello hello how low hello hello hello  with the lights out it's less dangerous here we are now entertain us i feel stupid and contagious here we are now entertain us a mulatto an albino a mosquito my libido  a denial a denial a denial a denial a denial a denial a denial a denial a denial;;;;;;;;;;;;
come as you are, nirvana, come as you are as you were as i want you to be as a friend as a friend as a known enemy take your time hurry up choice is yours don't be late take a rest as a friend as an old memoria  memoria memoria memoria  come doused in mud soaked in bleach as i want you to be as a trend as a friend as an old memoria  memoria memoria memoria  and i swear that i don't have a gun no i don't have a gun no i don't have a gun   memoria memoria memoria (no i don't have a gun)  and i swear that i don't have a gun no i don't have a gun no i don't have a gun no i don't have a gun no i don't have a gun  memoria memoria;;;;;;;;;;;;
heart-shaped box, nirvana, she eyes me like a pisces when i am weak i've been locked inside your heart-shaped box for weeks i've been drawn into your magnet tar pit trap i wish i could eat your cancer when you turn black  hey! wait! i got a new complaint forever in debt to your priceless advice hey! wait! i got a new complaint forever in debt to your priceless advice hey! wait! i got a new complaint forever in debt to your priceless advice your advice  meat-eating orchids forgive no one just yet cut myself on angel hair and baby's breath broken hymen of 'your highness' i'm left black throw down your umbilical noose so i can climb right back  hey! wait! i got a new complaint forever in debt to your priceless advice hey! wait! i got a new complaint forever in debt to your priceless advice hey! wait! i got a new complaint forever in debt to your priceless advice your advice  she eyes me like a pisces when i am weak i've been locked inside your heart-shaped box for weeks i've been drawn into your magnet tar pit trap i wish i could eat your cancer when you turn black  hey! wait! i got a new complaint forever in debt to your priceless advice hey! wait! i got a new complaint forever in debt to your priceless advice hey! wait! i got a new complaint forever in debt to your priceless advice your advice your advice your advice;;;;;;;;;;;;
lithium, nirvana, i'm so happy 'cause today i found my friends they're in my head i'm so ugly that's okay 'cause so are you we broke our mirrors sunday mornin' is everyday for all i care and i'm not scared light my candles in a daze 'cause i've found god  yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah  i'm so lonely that's okay i shaved my head and i'm not sad and just maybe i'm to blame for all i've heard but i'm not sure i'm so excited i can't wait to meet you there and i don't care i'm so horny that's okay my will is good  yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah!  i like it i'm not gonna crack i miss you i'm not gonna crack i love you i'm not gonna crack i killed you i'm not gonna crack i like it i'm not gonna crack i miss you i'm not gonna crack i love you i'm not gonna crack i killed you i'm not gonna crack  i'm so happy 'cause today i found my friends they're in my head i'm so ugly that's okay 'cause so are you we broke our mirrors sunday mornin' is everyday for all i care and i'm not scared light my candles in a daze 'cause i've found god  yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah!  i like it i'm not gonna crack i miss you i'm not gonna crack i love you i'm not gonna crack i killed you i'm not gonna crack i like it i'm not gonna crack i miss you i'm not gonna crack i love you i'm not gonna crack i killed you i'm not gonna crack;;;;;;;;;;;;
polly, nirvana, polly wants a cracker i think i should get off her first i think she wants some water to put out the blow torch  isn't me have a seed let me clip your dirty wings let me take a ride cut yourself want some help please myself got some rope have been told promise you have been true let me take a ride cut yourself want some help please myself  polly wants a cracker maybe she would like some food she asked me to untie her a chase would be nice for a few  isn't me have a seed let me clip your dirty wings let me take a ride cut yourself want some help please myself got some rope have been told promise you have been true let me take a ride cut yourself want some help please myself  polly said polly says her back hurts she's just as bored as me she caught me off my guard amazes me the will of instinct  isn't me have a seed let me clip your dirty wings let me take a ride cut yourself want some help please myself got some rope have been told promise you have been true let me take a ride cut yourself want some help please myself;;;;;;;;;;;;
